,user_mentions,favorites_users
TheDreamChain,1.0,1.0
TheEliteCrypto,2.0,3.0
TheJailHelmets,1.0,1.0
TheLandlordArmy,1.0,1.0
TheLondonCrypto,3.0,2.0
TheMidas,1.0,1.0
TheMoonCarl,13.0,12.0
TheRealPlanC,1.0,1.0
TheScroogeToken,2.0,1.0
TheShibLord1,1.0,1.0
TheTrashPiles,1.0,1.0
TheWorstCoin,1.0,1.0
The_Cloud_DAO,1.0,1.0
ThecatWorldx,2.0,1.0
Thecryptomist,1.0,1.0
Tiff_cryptomaxi,1.0,2.0
TigerhoodNFT,1.0,1.0
TiggerFinance,4.0,2.0
TimoJenzer,1.0,1.0
TinFoilFTM,1.0,1.0
Titan_Hunters,1.0,1.0
ToTheSkiesLimit,1.0,1.0
Token_Traxx,4.0,1.0
TopGainbsc,2.0,1.0
TowerVerse,1.0,1.0
Trader_XO,1.0,1.0
Trash_Panda_NFT,1.0,1.0
TronNinjas,1.0,1.0
TunaDin3,2.0,1.0
Turnmemads,1.0,1.0
TurtleMetaverse,1.0,1.0
UkOffy,1.0,1.0
UkaleleCrypto,1.0,1.0
Ukraine,2.0,3.0
Ulkamak1,1.0,1.0
UltorexOfficial,1.0,1.0
Uniswap,1.0,1.0
UpDeFiUp,1.0,1.0
User1620The,1.0,1.0
VD_546,1.0,1.0
VERSONANFT,1.0,1.0
VT6688,3.0,2.0
ViceRatCity,1.0,1.0
VikingPokerDAO,1.0,1.0
VitalikButerin,4.0,1.0
VoltInuOfficial,4.0,3.0
VoxelXnetwork,2.0,1.0
VulcanP2E,1.0,1.0
VulkaniaApp,1.0,2.0
WClementeIII,1.0,1.0
WSGToken,3.0,2.0
WalterInuToken,2.0,1.0
WarriorsvAliens,1.0,1.0
WastedWhales,1.0,1.0
WatcherGuru,8.0,12.0
WaveCharts,1.0,1.0
WazirXIndia,1.0,1.0
Whalesincoming,1.0,2.0
WilliamDaverd,1.0,1.0
WinnieBK5,1.0,1.0
WispersNFT,1.0,1.0
WithoutTheRope,2.0,1.0
WolfBritton,1.0,1.0
WorkMoneyFun,1.0,1.0
XALAQSA,1.0,1.0
XMetaverse_,1.0,1.0
XRshib,1.0,1.0
XeanusMonkeysN,1.0,1.0
Xenos_Giveaway,1.0,1.0
YEMTOP,1.0,1.0
YakuCorp,1.0,1.0
Yellow_Banana_C,1.0,1.0
YetiCoinEth,1.0,1.0
YorkshireInu,1.0,2.0
Yourpop8,3.0,1.0
Z_Humphries,2.0,1.0
ZachBoychuk,1.0,1.0
ZappyFi,1.0,1.0
Zeggyyy1,1.0,1.0
ZeldaInu,2.0,1.0
Zinja_ETH,4.0,1.0
ZinxEth,1.0,1.0
_Simpverse_,1.0,1.0
__Cryptoqueen,1.0,1.0
___habijan___,1.0,1.0
_hcrypto,1.0,1.0
_skateboardkong,1.0,1.0
abba_elnafaty,1.0,1.0
acebooniepr,1.0,1.0
adrian__chamber,1.0,1.0
adroverse,1.0,1.0
ahgasecaratstax,1.0,1.0
alanknit,1.0,1.0
alextapscott,1.0,1.0
allianceblock,1.0,1.0
allyATL,1.0,2.0
altcryptocom,2.0,2.0
alyaaurel2203,1.0,1.0
andredaister,1.0,1.0
angel_funsized,1.0,2.0
ann__itsme,1.0,1.0
anndylian,4.0,1.0
apexnodes,3.0,2.0
arbitrum,2.0,1.0
arby_sol,1.0,1.0
atem_network,2.0,2.0
avajitz,2.0,1.0
avnrich,2.0,2.0
ayangbigwin,1.0,3.0
ayucharlottee,1.0,2.0
azzahro_isna,1.0,1.0
babycheemsinu,2.0,1.0
bb9753111,1.0,1.0
beinlibertarian,1.0,1.0
bellasnfts,1.0,1.0
beyondprotocol1,1.0,1.0
binance,30.0,16.0
bitcoin_queen_,2.0,1.0
brian_armstrong,1.0,1.0
bricepromos,2.0,1.0
bsc_daily,3.0,3.0
bscgems_news,1.0,1.0
btc,1.0,1.0
camiadeluca,1.0,1.0
capekyaasama,1.0,1.0
ccomissioner,1.0,1.0
cerealclubnft,1.0,1.0
chimps_teen,1.0,1.0
chinapumprocket,2.0,1.0
chirocrypto,1.0,1.0
chitaglorya__,1.0,2.0
clashofdoge,1.0,1.0
clear_dao,1.0,1.0
cmsholdings,1.0,1.0
coindoktorunuz,1.0,1.0
coinkitten1,2.0,1.0
coinllectibles,1.0,1.0
commetaverse,1.0,1.0
coodazai,1.0,1.0
core_nodes,3.0,1.0
creationnft_eth,1.0,1.0
creo_engine,3.0,1.0
crogramapp,1.0,2.0
crowfi_,1.0,1.0
cryprules,1.0,2.0
cryptegridy,1.0,1.0
cryptic_rich,1.0,1.0
crypto888crypto,1.0,1.0
crypto_birb,1.0,2.0
crypto_bitlord7,1.0,2.0
crypto_bulls07,1.0,1.0
crypto_coochie,1.0,1.0
crypto_deb,2.0,2.0
cryptocevo,1.0,1.0
cryptogems555,6.0,4.0
cryptojourneyrs,2.0,3.0
cryptokiddo7,1.0,1.0
cryptonathan1,1.0,1.0
cryptopolisgame,1.0,1.0
cryptopunksbot,1.0,1.0
cryptosnake_en,1.0,1.0
cryptowhelp,1.0,1.0
cubo_money,1.0,1.0
cz_binance,23.0,25.0
danheld,1.0,3.0
daometry,1.0,1.0
dav1d_eth,1.0,1.0
davidgokhshtein,9.0,6.0
deagagnerwinx,1.0,1.0
decryptmedia,1.0,2.0
defi_anya,1.0,1.0
deficryptoborg,1.0,1.0
defiyield_app,1.0,1.0
desolateNFT,1.0,1.0
dexynft,1.0,1.0
dippy_eth,1.0,1.0
doge_cola,1.0,1.0
dommadudeMC,1.0,1.0
dontforgetsauce,1.0,1.0
dookiesnft,1.0,1.0
dziubutkus,1.0,1.0
earlycoins,1.0,1.0
elbowslol,1.0,1.0
elonmoonspace,4.0,1.0
elonmusk,26.0,25.0
embersnft,1.0,1.0
engineers_feed,1.0,1.0
enjinstarter,4.0,1.0
enrex_crypto,1.0,1.0
equitycoinbsc,3.0,1.0
estatexeu,1.0,2.0
etherstonesfi,3.0,1.0
evgenyres,1.0,1.0
fhfcnft,1.0,1.0
fightoftheages,2.0,1.0
findurincrement,1.0,1.0
flokieasterbsc,6.0,3.0
focaldefi,1.0,1.0
formingajuan,1.0,1.0
frankdegods,1.0,1.0
friedlambchops,1.0,1.0
ftsmonsterio,3.0,2.0
fud_ruckers,1.0,1.0
funkyfrens,1.0,1.0
gainzxbt,2.0,2.0
galaxy_sidus,1.0,1.0
gate_io,5.0,1.0
gateio_es,1.0,1.0
genius_coin,1.0,1.0
genopets,1.0,1.0
gin_meta,2.0,2.0
gipeweihunter,1.0,1.0
girlgone_crypto,1.0,1.0
gongtongfuyudao,1.0,1.0
goodso1992,1.0,1.0
groprotocol,1.0,1.0
hantothemoon,1.0,1.0
happyhoodiesnft,1.0,1.0
hehe_kev,1.0,3.0
hernanlafalce,2.0,1.0
hiRavenCrypto,1.0,1.0
hiveinvestments,1.0,1.0
hulkordie,1.0,1.0
hunterorrell,2.0,2.0
iam_somusuresh,2.0,1.0
iamnotlucky0,1.0,1.0
imluckysoo,1.0,1.0
inaalat02,1.0,1.0
influencerpoker,1.0,1.0
inkidsnft,1.0,1.0
inmortalcrypto,2.0,1.0
inowlucu,1.0,1.0
intocryptoverse,1.0,1.0
inversebrah,1.0,1.0
jack,2.0,1.0
jackmallers,1.0,1.0
jaehyunncit127,1.0,1.0
jaerapa_,1.0,1.0
jakepaul,2.0,1.0
jmanzi123,1.0,1.0
josefabregab,1.0,1.0
josephdelong,2.0,1.0
junioresbarros,1.0,1.0
kasta_app,1.0,1.0
katanainuHodler,1.0,1.0
kawiboo_,1.0,1.0
kcPinkish,1.0,1.0
keepitlunatic,1.0,1.0
kemall4545,1.0,1.0
kittycoinbsc,3.0,1.0
koolkidsfantom,1.0,1.0
krakenfx,1.0,2.0
krbart5,1.0,1.0
kriptoanna,1.0,1.0
kthluvrwinx,1.0,1.0
kucoincom,9.0,3.0
kuyawat,1.0,1.0
ladycryptogem,1.0,1.0
lagaleriedesNFT,1.0,1.0
lambosoonexpert,1.0,2.0
lancr32,1.0,1.0
launchercoin,2.0,1.0
lazylions8710,1.0,1.0
leslarmetaverse,1.0,1.0
